time,cycle,phase,x,y,z,xy_distance,roll_degrees,pitch_degrees,yaw_degrees,tilt_degrees,left_leg_hinge,right_leg_hinge,ctrl
0.002,0,initial_settle,4.422172043038064e-23,-1.5876951149000308e-22,0.07798038,1.6481297987900396e-22,1.1198550723566964e-18,0.0,0.0,1.1198550723566964e-18,-8.326672684688674e-23,-8.326672684688674e-23,"[0.0, 0.0]"
0.022000000000000006,0,initial_settle,1.2486757545688455e-05,1.8643850461971751e-07,0.07620817412774733,1.2488149315283367e-05,-0.0001598193045427147,0.014104878162660883,1.2687378736007975e-05,0.014104878162660883,-6.512055524463007e-05,-6.481643027617959e-05,"[0.0, 0.0]"
0.04200000000000002,0,initial_settle,0.00010829317832882094,1.1592372517269573e-06,0.07567756714022589,0.00010829938274784212,-0.0009232622611505777,0.12055880388607618,8.241501153859585e-05,0.12055880388607618,-0.0006425768330199771,-0.0006402758090403797,"[0.0, 0.0]"
0.06200000000000004,0,initial_settle,0.00021859035716988883,1.7475721590492415e-06,0.07580104408798645,0.00021859734274714014,-0.0013412263229414662,0.2500005260842211,0.0001339940674156781,0.2500005260842211,-0.00152912529847731,-0.0015249870275572952,"[0.0, 0.0]"
0.08200000000000006,0,initial_settle,0.00030576988053203347,1.949394663461914e-06,0.07596550658538735,0.00030577609452036626,-0.0014708160004274478,0.36827477799794156,0.00015986557037549472,0.36827477799794156,-0.0025734198605029015,-0.002568106425763042,"[0.0, 0.0]"
0.10200000000000008,0,initial_settle,0.0003633827367678773,1.9888871660002024e-06,0.07606998480255199,0.00036338817957257705,-0.0014909099744110916,0.46876090713857577,0.00017085940851541977,0.46876090713857577,-0.0037093306669818277,-0.0037033204985129162,"[0.0, 0.0]"
0.1220000000000001,0,initial_settle,0.0003961601932426397,1.986351109443654e-06,0.07612450037893922,0.00039616517300335174,-0.001486400338542415,0.5536911885431599,0.00017617689391928785,0.5536911885431599,-0.0048982902149618986,-0.004891817996997408,"[0.0, 0.0]"
0.1420000000000001,0,initial_settle,0.0004118845615601091,1.981566757406179e-06,0.07615038139989647,0.0004118893281676249,-0.0014825854014427918,0.6277823801014722,0.00018102570676868646,0.6277823801014722,-0.006115180926648984,-0.006108320674575837,"[0.0, 0.0]"
0.16200000000000012,0,initial_settle,0.0004179425041266982,1.9814257206825264e-06,0.07616199009555019,0.0004179472009758909,-0.0014826933536709018,0.6957269364638571,0.00018750091612526807,0.6957269364638571,-0.007344389100761442,-0.00733713871156414,"[0.0, 0.0]"
0.18200000000000013,0,initial_settle,0.00041998093768538146,1.9841409787095332e-06,0.07616698759271676,0.0004199856245569789,-0.0014848485075723654,0.7612034967668043,0.00019583139653831376,0.7612034967668043,-0.00857746594647119,-0.008569802983907974,"[0.0, 0.0]"
